Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Luis Arraez","SDP",16,72,0,9,6,0,0.055555555,0.013888888,0.073529411,0.298507462,0.294117647,0.333333333,0.367647058,0.3111477924717797,,101.73229684527591,-0.3912968961521983,-0.24683052095234556,-2.7911074459552765,-0.07117608240232659,"Luis Arraez",18568,650333
"Adolis García","TEX",17,68,2,5,9,1,0.058823529,0.264705882,0.147540984,0.272727272,0.229508196,0.264705882,0.37704918,0.2753402844947927,,73.85377744645844,-0.711736558820121,-2.735226538374115,-0.2257334552705288,-0.07536113861233429,"Adolis Garcia",19287,666969
"Brent Rooker","ATH",17,75,2,9,6,2,0.066666666,0.226666666,0.117647059,0.265306122,0.220588235,0.293333333,0.338235294,0.28506128311157225,,80.88303182565386,0.31155858049169183,-1.3202284326154705,-1.8749950365163386,-0.07575370814976873,"Brent Rooker",19627,667670
"Max Kepler","PHI",17,61,2,5,9,0,0.081967213,0.262295081,0.166666666,0.216216216,0.185185185,0.262295081,0.351851851,0.2719167773840857,,70.47625114279371,-0.043882923666387796,-2.1298781129107938,-0.6584455369738862,-0.08269943391305566,"Max Kepler",12144,596146
"Josh Naylor","ARI",18,75,1,9,10,4,0.053333333,0.133333333,0.086956522,0.27118644,0.246376811,0.293333333,0.333333333,0.2790653864542643,,74.32487131738927,0.3054663632065058,-1.9249495629102151,-1.4172705431701615,-0.09269551673752306,"Josh Naylor",18839,647304
"Chandler Simpson","TBR",16,53,0,9,6,8,0.018867924,0.113207547,0.06122449,0.295454545,0.265306122,0.274509803,0.326530612,0.2623833593200235,,68.7801225186725,1.3608939736150205,-0.5222791868230647,-2.178866606205702,-0.09980577178472105,"Chandler Simpson",31912,802415
"Tyler Soderstrom","ATH",17,73,1,7,6,1,0.04109589,0.287671232,0.117647059,0.326086956,0.235294117,0.287671232,0.352941176,0.2853010884703022,,81.05058175714571,-0.003988971118815243,-1.5783413090150038,-1.9351672707125545,-0.11586202568553763,"Tyler Soderstrom",27467,691016
"Michael Toglia","COL",17,68,3,6,6,0,0.147058823,0.411764705,0.228070175,0.296296296,0.192982456,0.308823529,0.421052631,0.31476079261125023,,87.20817425784297,-0.3512020013295114,-1.3587213899298107,-2.0553099177777767,-0.12411137289694285,"Michael Toglia",25845,669911
"Ozzie Albies","ATL",18,76,1,8,4,1,0.065789473,0.184210526,0.072463768,0.236363636,0.20289855,0.263157894,0.275362318,0.24447238837417803,,51.023606881362305,0.5204771212302148,-3.79086369475856,0.06836062204092741,-0.12898391378921067,"Ozzie Albies",16556,645277
"Adley Rutschman","BAL",17,63,0,4,2,0,0.047619047,0.174603174,0.101694916,0.229166666,0.186440677,0.238095238,0.288135593,0.23509857200440906,,48.3095174913601,-0.20396579173393548,-3.9102125209881273,0.5613730705808848,-0.13305014264166978,"Adley Rutschman",26288,668939
